Node,Degree centrality,Betweenness centrality,Eigenvector centrality
King,0.2647,0.0487,0.3105
Westmorland,0.0882,0.0,0.1534
Falstaff,0.3529,0.183,0.3595
Prince,0.4706,0.3959,0.4206
Poins,0.1176,0.003,0.1517
Worcester,0.2647,0.0546,0.2648
Northumberland,0.0882,0.0,0.1287
Hotspur,0.4412,0.3567,0.3403
Blunt,0.1176,0.0,0.1606
1Carrier,0.0882,0.0553,0.0317
Ostler,0.0294,0.0,0.0045
2Carrier,0.0588,0.0,0.0311
Gadshill,0.2353,0.2108,0.1896
Chamberlain,0.0294,0.0,0.0267
Bardolph,0.2059,0.0117,0.2181
Peto,0.1765,0.0076,0.2055
1Traveler,0.1176,0.0018,0.1368
2Traveler,0.1176,0.0018,0.1368
LadyPercy,0.0294,0.0,0.0478
Servant,0.0294,0.0,0.0478
Francis,0.0588,0.0,0.0805
Vintner,0.0294,0.0,0.0591
Hostess,0.0882,0.0,0.1404
Sheriff,0.0588,0.0,0.0688
3Carrier,0.0588,0.0,0.0688
Mortimer,0.0882,0.0009,0.0937
Glendower,0.0588,0.0,0.061
Douglas,0.1765,0.0141,0.2269
1Messenger,0.0588,0.0,0.0851
Vernon,0.0882,0.0,0.117
Archbishop,0.0294,0.0,0.0
SirMichael,0.0294,0.0,0.0
2Messenger,0.0294,0.0,0.0478
3Messenger,0.0294,0.0,0.0478
Lancaster,0.0882,0.0,0.1534
